,temperature,has_children,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y,destination_Home,destination_No Urgent Place,destination_Work,passenger_Alone,passenger_Friend(s),passenger_Kid(s),passenger_Partner,weather_Rainy,weather_Snowy,weather_Sunny,time_10AM,time_10PM,time_2PM,time_6PM,time_7AM,coupon_Bar,coupon_Carry out & Take away,coupon_Coffee House,coupon_Restaurant(20-50),coupon_Restaurant(<20),expiration_1d,expiration_2h,gender_Female,gender_Male,age_21,age_26,age_31,age_36,age_41,age_46,age_50plus,age_below21,maritalStatus_Divorced,maritalStatus_Married partner,maritalStatus_Single,maritalStatus_Unmarried partner,maritalStatus_Widowed,education_Associates degree,education_Bachelors degree,education_Graduate degree (Masters or Doctorate),education_High School Graduate,education_Some High School,education_Some college - no degree,occupation_Architecture & Engineering,occupation_Arts Design Entertainment Sports & Media,occupation_Building & Grounds Cleaning & Maintenance,occupation_Business & Financial,occupation_Community & Social Services,occupation_Computer & Mathematical,occupation_Construction & Extraction,occupation_Education&Training&Library,occupation_Farming Fishing & Forestry,occupation_Food Preparation & Serving Related,occupation_Healthcare Practitioners & Technical,occupation_Healthcare Support,occupation_Installation Maintenance & Repair,occupation_Legal,occupation_Life Physical Social Science,occupation_Management,occupation_Office & Administrative Support,occupation_Personal Care & Service,occupation_Production Occupations,occupation_Protective Service,occupation_Retired,occupation_Sales & Related,occupation_Student,occupation_Transportation & Material Moving,occupation_Unemployed,income_$100000 or More,income_$12500 - $24999,income_$25000 - $37499,income_$37500 - $49999,income_$50000 - $62499,income_$62500 - $74999,income_$75000 - $87499,income_$87500 - $99999,income_Less than $12500,Bar_1~3,Bar_4~8,Bar_gt8,Bar_less1,Bar_never,CoffeeHouse_1~3,CoffeeHouse_4~8,CoffeeHouse_gt8,CoffeeHouse_less1,CoffeeHouse_never,CarryAway_1~3,CarryAway_4~8,CarryAway_gt8,CarryAway_less1,CarryAway_never,RestaurantLessThan20_1~3,RestaurantLessThan20_4~8,RestaurantLessThan20_gt8,RestaurantLessThan20_less1,RestaurantLessThan20_never,Restaurant20To50_1~3,Restaurant20To50_4~8,Restaurant20To50_gt8,Restaurant20To50_less1,Restaurant20To50_never
temperature,1.0,-0.02067352320329914,,-0.1558760535681823,-0.21577992288546605,0.0975388083008435,-0.09753880830084294,0.0566455192709408,-0.05519533077345394,0.13559271172450482,-0.1009241139848729,-0.10058891045216761,0.10411692958365508,0.023153714577278856,-0.00791870207617507,-0.14110807502791972,-0.6131281188572981,0.5778806022161438,0.13344779534464804,-0.175321810378335,0.042411855768086856,0.09404465826426817,-0.1009241139848729,-0.1297134503939736,-0.12609436928952128,0.16912384307671025,0.02541092946591132,0.02391410531218037,-0.12588911537909747,0.12588911537909764,0.02755699913880591,-0.027556999138805664,0.023687633030315854,0.017137204089267725,-0.02062159350831723,-0.008066227092347207,-0.0026930946035704346,0.0036213703854029466,-0.008775029998032674,-0.017326900845857793,0.01837879400021029,-0.019123150211807233,0.01257390974346296,0.0035230117120972565,-0.018393906570436706,-0.028370377615676918,-0.0026525795692227357,0.023115849821695213,0.008178662655865693,-0.010606499697864386,-0.00035538371726176005,0.016890629534903584,0.019980926796907127,-0.03890995352459744,-0.040671061844670134,0.013773520045409427,0.002705097804270305,-0.024435306492777947,0.01643051722703619,-0.02422200202740615,-0.0123184617335348,-0.007258364664304343,-0.03681097093293416,-0.02419611482315872,0.01539508711148286,0.025092891320471062,0.042291602976181376,-0.015084992614818623,-0.014518170236988226,-0.013150576861610381,0.025038541867142636,0.02861383144990051,-0.006235662789953864,0.02131255456905047,0.0018863051964589737,-0.031421691902379756,-0.009379833315173931,0.004604976681552826,0.028476317058171354,0.02055780864458429,0.008454873862541462,0.001681368106685178,-0.04374579899788281,-0.018819280658432535,-0.012504994031422906,-0.012566054422364453,0.021699079892609715,-0.012676678895070688,0.004688164321374434,-0.0024073856077730764,0.008818731777425952,-0.029256515202717815,-0.0001477279740240871,0.004002686233095522,0.010488361955515323,0.012995137069845281,0.029220519957958054,-0.024885150649216474,-0.02611371424015626,-0.023681664996924735,-0.010777180382823076,0.0016307985067411728,0.032487596281788475,-0.008269928099335942,-0.019569130824331912,0.025364347124006602,-0.0379290083451462,-1.0780333135514603e-05,-0.04119594805158128,0.04819507327114268
has_children,-0.02067352320329914,1.0,,0.07973511604046593,-0.014037739085308499,-0.03304731992420125,0.03304731992420116,-0.04833252188155696,-0.00971446284656186,0.02573297254953736,-0.019919142484321622,-0.05716306490997661,-0.04791604471294314,0.33847485529031135,-0.14830808230218026,-0.014663671531432936,0.003397412058229048,0.00801101914406659,-0.012088504812673838,0.018800413803459946,0.009846075607406335,0.00645695665969299,-0.019919142484321622,0.01687606224312414,0.01449209587023692,-0.03722545592623292,0.017893342107487793,-0.0006878722189053566,-0.018085677760740815,0.018085677760740847,0.14787500460447556,-0.1478750046044756,-0.29452207717644646,-0.17685885404645213,0.050929394250160236,0.1310070091794333,0.24946102789251387,0.06633519245548986,0.21986509779892413,-0.15487157330063614,0.21404539801023043,0.47672507763816485,-0.4525409427731721,-0.16003988024490048,0.03557675155489948,0.10245813660226455,-0.0727258294590473,0.13240830146470617,-0.10335242338728119,0.0595200405493809,-0.0425226674549077,-0.009138581296984903,-0.013076988490168275,0.011258002705992453,0.026006442319964764,-0.029609463349162382,0.08779898644607956,-0.02838113705376212,0.08717933571490596,0.07192745305500887,0.010437586453812936,0.08190288619421887,-0.06593116858026815,0.020452912226663747,-0.030871772964011984,0.017956308473456403,0.04589685991650477,-0.05816290729121735,0.10467436710008693,-0.02761923219723715,-0.009138581296985068,0.11095726830151305,-0.05205081411609964,-0.2118607294050063,0.051810221420448416,-0.009418659793768247,-0.012686930615370417,-0.04033350679907544,-0.0017822703170240096,0.03694762718384311,0.01591460411591466,0.03302505219671378,0.01645910068046503,0.10045382966250231,-0.1325204203754286,-0.08570722010155181,-0.1119189782071245,-0.09399293296988105,-0.0008890673601892781,0.1653452160541539,0.005219565754707884,-0.0008142945479543876,0.03623852732398404,-0.0019502380550683112,-0.02735490503168612,-0.025763799547373317,0.08516094311734683,-0.12187338509619623,0.021249061682751404,0.054457159042330214,0.08716527899575367,-0.04930918572382607,-0.032716592348101,-0.026253118959406536,-0.008281551863352226,-0.02897916503543473,0.030314663660804077,-0.042433444639159636,0.040685461377413606,-0.02214522237509108
toCoupon_GEQ5min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toCoupon_GEQ15min,-0.1558760535681823,0.07973511604046593,,1.0,0.325557847526328,-0.30595175735398394,0.30595175735398356,-0.08171074486212483,-0.13824772014950307,0.03787500605140698,0.09545308655255355,-0.13816666252916882,0.1285613792030034,0.12066833264677261,-0.07348430372791188,0.07357067402962043,0.10869672120604096,-0.13769755400957778,-0.005712689728289096,0.05403367267917514,-0.010640965725834133,-0.1261271040835896,0.09545308655255355,0.08836792063544409,0.07222724904093142,-0.057283901598336906,0.052751393220404244,-0.1228758201922212,-0.04330533726142792,0.043305337261428004,0.005335511425910495,-0.00533551142591043,-0.033920796823750946,-0.009773350574052393,0.006220666056048383,0.01301591960023494,0.016650531747369562,0.014894407346005787,0.017595556521496254,-0.014063244260800443,0.01847537112422568,0.04486312358696658,-0.02746003619480807,-0.03129235344201417,-0.006401436089346571,0.015137125216988064,-0.0009464702614019163,0.021188756340182996,-0.007195433439702978,-0.008607192119499205,-0.01847525859721408,0.006682389081685901,0.005116792815330391,0.011925002136476256,0.01023772321184612,-0.001134865151912159,0.010659630003456695,0.0038243801195970107,0.009858613026887418,0.016435569130823117,-0.0032347961050123056,0.002991807955098807,-0.005733797345358359,0.006966402267015459,-0.008637210953214134,0.00933647519467291,0.0032307192070879856,-0.007027519065305246,0.010641229766458512,0.0012015021095542584,0.002493816931387706,0.007346808320652568,-0.01738237322871749,-0.022859470040834627,-0.002940497687457335,-0.002828413843561087,0.0011596409699522608,-0.015148120767617158,0.0009196349772476469,-0.003802140149669883,0.003819109349819578,0.009558116664169376,0.004102878284023639,0.022521980653697184,-0.016291053612452505,-0.020204963761528423,-0.0009032484505628622,-0.014925692803528935,-0.0017768941998547079,0.023395014105340582,0.006491500648246065,-3.258203643488732e-05,-0.005494353351535888,-0.006332231105081584,0.003690635955839777,0.0008207461083298828,-0.0022815904381904327,-0.0068418487701532886,0.005828588297430887,0.008826763632797168,0.00047585235058045656,-0.0030343625474685467,-0.008749499147260725,0.009304000726540201,0.0030977272093453915,0.003011463132766142,-0.01073756625453691,-0.011595676067219044,0.006943499000522469,-0.0016511032992908255
toCoupon_GEQ25min,-0.21577992288546605,-0.014037739085308499,,0.325557847526328,1.0,-0.1927844592687227,0.19278445926872242,-0.10054192793713196,0.04725679676446916,-0.3639780161596919,0.37249089863599316,0.2729017318939382,-0.21859507236625572,-0.10206441640986536,-0.041475198318099336,0.12025620085607147,0.1835564170310849,-0.22963879225854744,-0.17172006568402584,-0.005033259301492157,-0.1598673735970338,-0.08112680362024104,0.37249089863599316,0.17947525670285194,-0.012520230662458718,-0.08653726915545011,-0.046150634175795346,-0.013393944860824753,0.03239631844916779,-0.03239631844916779,-0.002575287262637811,0.0025752872626377643,0.0013358363746245874,0.005507657778504874,-0.0019588053212274818,-0.005513454120104572,-0.007330643044674346,-0.002541649142872072,0.005997801725548485,0.0010625302302861399,0.0074471201475213265,-0.02122795734888344,0.023295715330147355,-0.0064587510607798425,0.00028990582346745305,0.006967154861441648,-0.0005580619498783005,0.005124162753398455,0.01013814737141616,0.0014846745615069992,-0.013211293697505063,-0.00404212281052882,-0.006451410729147083,0.00316704135082807,0.005555019292963168,0.00929220557919046,-0.004280641344383355,-0.0008753816556638541,-0.005048190378566599,0.003715319669785137,-0.005039359541248676,-0.004757220772541612,0.00020019360777847808,0.005193031744588202,-0.007931114751569011,-0.002806432890541842,-0.007476300272922697,0.0027162388311627148,-0.0028888386464597754,0.007489490911228442,-0.0040421228105287955,0.0007014867072655028,0.0009192640473041448,0.0025471074939764846,-0.0019659597135740334,0.01246723326081475,-0.002937025814760865,-0.000211427224460512,-0.003556417083884131,0.006895516747954273,-0.0036730122677227557,0.0027304373703126647,-0.0011976796028529296,-0.006761147586293615,0.00915960272228648,-0.01217256624323993,0.010108510469103604,-0.006352166498893974,0.004443265327487356,0.0020650007448378403,-0.005881982633679484,0.0073788549113804475,-0.0023254386671475256,-0.006142465472839929,0.00813217989673366,-0.0012948718600850762,-0.0034716030267730514,-0.0005962497521444087,0.00597099474425189,0.003355465398463769,0.009103122536827655,-0.006706010028422933,-0.008616026022047243,0.003185291635334631,-2.3462532134758356e-05,-0.002462708336293291,-0.009562959195286458,-0.00439460339871175,-0.0007417053056083141,0.011438750208977892
direction_same,0.0975388083008435,-0.03304731992420125,,-0.30595175735398394,-0.1927844592687227,1.0,-0.9999999999999999,0.014361059985415784,0.3655203955844313,-0.5176081120771536,0.22941983140030997,0.37536427414044754,-0.31086103471486864,-0.11730091909010125,-0.06316287206231064,0.01869474211139714,-0.06973457423652184,0.04050250599686917,-0.2442007348198667,0.024075740902418517,-0.22734518502894796,0.15705821859637967,0.22941983140030997,-0.00530518875213143,0.13767614371724243,-0.04553617413088687,-0.040000156367586595,-0.043230274934030616,-0.034708998752036764,0.03470899875203673,0.0053127454533973325,-0.0053127454533975485,0.012919524423185726,0.0004114558577886325,0.009249093196663416,0.0022437723956139125,-0.022134590464213788,-0.020215403450128445,-0.01073153685094767,0.025747761893618173,0.011642669332206361,-0.026513056301893045,0.009055033467276976,0.01789908205727193,-0.0047897168778352674,-0.005232771333809526,-0.0077745429177482695,0.00845830409166477,0.01575956848515593,0.011999454969151278,-0.006249435340272248,-0.01627699298615032,-0.015616309812096678,-0.008250937337311956,-0.006999653560438193,0.026995386036821334,-0.007214278233865619,-0.01640497129494308,-0.001545646487838013,-0.0008529965472852891,0.006220804820209447,-0.016149379780720678,0.0013366117253206158,-0.01470554777213328,-0.0016934462646712208,-0.023222493806691304,-0.017386194717017252,0.0075420142135818255,-0.007062762225309427,0.01910628436437116,-0.00447497616162836,-0.009112651324594316,0.0044922222664263295,0.025003568965546667,-0.004398302955719193,0.02463665078188237,-0.010484565579071362,-0.0044927788535390565,-0.0004988244109105799,0.012537697509916413,-0.018438724033420745,0.004165771185312702,-0.004938824614769137,-0.011230183411786929,0.03692078084158069,0.001042312745174929,0.0001528901531841767,-0.015342514802109932,0.013770763794690069,-0.008456430662177336,-0.020038578322374233,0.0035340898023965557,0.008330261641441367,-0.004802393185715222,0.01724067120247857,-0.012366621146223299,0.015533866144845367,-0.011647307495742786,0.0067201667000088075,0.0015816462885630597,0.002481574707385575,-0.001929179242189296,-0.008813984898947696,0.004651418547101365,0.005263471135122795,-0.005917306098223189,0.012922882987005668,-0.00799715011859284,-0.013569432010911367,0.02010412241607104
direction_opp,-0.09753880830084294,0.03304731992420116,,0.30595175735398356,0.19278445926872242,-0.9999999999999999,1.0,-0.014361059985415715,-0.3655203955844317,0.5176081120771537,-0.22941983140030964,-0.37536427414044754,0.3108610347148692,0.11730091909010132,0.06316287206231049,-0.018694742111397614,0.06973457423652146,-0.040502505996868526,0.24420073481986687,-0.024075740902419145,0.22734518502894838,-0.1570582185963797,-0.22941983140030964,0.005305188752131445,-0.13767614371724216,0.045536174130887,0.04000015636758646,0.04323027493403052,0.03470899875203646,-0.03470899875203643,-0.005312745453397435,0.005312745453397621,-0.012919524423185821,-0.0004114558577885756,-0.009249093196663583,-0.0022437723956139416,0.022134590464213896,0.020215403450128688,0.010731536850947744,-0.025747761893618427,-0.011642669332206536,0.02651305630189312,-0.009055033467276942,-0.01789908205727194,0.00478971687783535,0.005232771333809562,0.007774542917748263,-0.00845830409166467,-0.015759568485156042,-0.011999454969151386,0.006249435340272229,0.016276992986150568,0.015616309812096777,0.008250937337311862,0.006999653560438036,-0.026995386036821487,0.0072142782338655695,0.016404971294943258,0.0015456464878380713,0.0008529965472852628,-0.006220804820209735,0.016149379780720743,-0.0013366117253206591,0.014705547772133334,0.001693446264671283,0.023222493806691457,0.01738619471701766,-0.007542014213581917,0.007062762225309393,-0.019106284364371288,0.004474976161628253,0.009112651324594566,-0.0044922222664263494,-0.02500356896554687,0.004398302955719205,-0.024636650781882433,0.010484565579071459,0.004492778853539067,0.0004988244109104705,-0.012537697509916425,0.018438724033421006,-0.00416577118531271,0.004938824614769057,0.011230183411787073,-0.0369207808415809,-0.0010423127451749342,-0.00015289015318408752,0.015342514802109956,-0.013770763794689967,0.00845643066217722,0.0200385783223744,-0.0035340898023967157,-0.008330261641441362,0.004802393185715329,-0.017240671202478755,0.012366621146223314,-0.01553386614484535,0.01164730749574282,-0.00672016670000888,-0.0015816462885631087,-0.002481574707385602,0.001929179242189309,0.008813984898947781,-0.004651418547101413,-0.005263471135122757,0.005917306098223219,-0.012922882987005833,0.007997150118592901,0.01356943201091126,-0.020104122416070902
Y,0.0566455192709408,-0.04833252188155696,,-0.08171074486212483,-0.10054192793713196,0.014361059985415784,-0.014361059985415715,1.0,-0.07223058710341107,0.1291037239339604,-0.07628712038448847,-0.09973014303961769,0.12825203290895137,-0.04250346007742571,0.015606400109978028,-0.07016441736421174,-0.06609400000022404,0.1021891588642099,0.03638955147182929,-0.04701416349639792,0.08015986735613755,0.015955708570067822,-0.07628712038448847,-0.137904897266244,0.16403022848510287,-0.10019085838474404,-0.09079338875860814,0.1496459931039806,0.1331306811080475,-0.1331306811080474,-0.04526092122069383,0.045260921220693875,0.025693123816361255,0.030661674535643287,-0.015060346739710729,-0.02104301543449557,0.0033362763179799696,0.0036394046634571895,-0.05108675304121496,0.026801990134606928,-0.018348688976687837,-0.04349978822972139,0.06472446815174811,-0.012475102450940183,-0.01862817343637796,-0.006431210310955245,-0.018554164285723703,-0.036253194767053167,0.013977153988939358,0.025358088732026145,0.03716487345561229,0.015903817689986874,-0.015932359973575838,0.002634376634657588,0.0001843965501557507,-0.019653961742735475,-0.004141801363513925,0.027304773099110315,-0.031149432400813245,-0.004158602684518065,-0.0012716624274512359,0.04058831403368937,0.037253142823729934,-0.007564789363965655,-0.027172495320333008,0.0017216708071148227,0.012627183850527872,0.01573500701580261,-0.0031519762085351895,0.023392117051522478,0.018702224231821666,-0.04593729568933416,-0.003719939981502666,0.029787086083022773,0.007390916100884656,-0.02001837220466406,0.007074077648018812,0.006775286014071513,0.02444415256010886,0.0011535479141288017,0.01592666193088019,-0.02316317785634678,-0.0416412219867849,-0.025096266260015515,0.011270835334961605,0.05543576196469958,0.04260793913671337,-0.0001778245037867755,-0.0012363105677335481,-0.06806009217727371,0.09947433432125304,0.049773503789160414,0.008949031650871972,-0.02014004910517927,-0.12823829170040532,0.02069569409281313,0.016047876057663557,0.008661697134515683,-0.05652134082527529,-0.004169392042645265,-0.012666030751918739,0.017689908428290612,0.026789701953812917,-0.028092276104130502,0.0039026058071605545,0.03408711899326164,0.041647878839251265,0.028238743793338898,-0.021321478034432757,-0.048149425317154236
destination_Home,-0.05519533077345394,-0.00971446284656186,,-0.13824772014950307,0.04725679676446916,0.3655203955844313,-0.3655203955844317,-0.07223058710341107,1.0,-0.5789662468946403,-0.3384525641146612,0.3577910054215186,-0.3477110237944363,-0.08197800649919579,-0.007859348754789679,-0.03234419445410372,0.026712762557207063,0.0027671860778961423,-0.27314870000819835,0.29909440671177207,-0.25429506503978017,0.5397268179338399,-0.3384525641146612,-0.003423560731613371,0.018281879553483617,-0.035370479829345096,0.15108611782746473,-0.09197824951539524,0.007450618178447095,-0.00745061817844713,0.008645984101998481,-0.008645984101998684,0.006079958209313329,-0.0003374985711041767,0.010036967074409098,-0.0006342095096743888,-0.01205385660764477,-0.01798021839602313,-0.005068077057750377,0.017352664306426062,0.008808025743667538,-0.011953879744023208,0.005169427961994322,0.005533264435719246,-0.0052100641175832725,0.0038425855227806898,-0.003614068052120883,0.005977624592804404,0.019030994559973598,0.010100455108719217,-0.015347277414181069,-0.016992451041235535,-0.012639488843539763,-0.003900208112526618,-0.0007392001430196481,0.021438216014153116,-0.006823181243925271,-0.012406630144008262,-0.004714307251920012,0.006431493370780231,-0.0018942392343724147,-0.012295434344708173,0.0029708713260972732,-0.012677293498664552,-0.008441870339979696,-0.01840210108854065,-0.017207433188428992,0.0012218713111448857,-0.00692023592258624,0.01679743774049896,-0.005871049738573501,-0.010575101597280779,0.008150411916341655,0.02054724989653389,-0.0023923915027632124,0.02800572064637452,-0.0060935437696265134,-0.007230065252118503,-0.004215039471728765,0.008553733871411411,-0.010008246168178305,0.002584028463939081,7.786454848086858e-05,-0.009760756616059707,0.030137438417675973,-0.0011007340128438535,-0.005511811138078643,-0.012301715157458057,0.012740935940122681,-0.0035350636938327375,-0.0167674171948334,0.010086500992790948,0.006075402435813928,-0.009509068942685352,0.015016871018013894,-0.013278316766507012,0.010913705057753425,-0.008882772583486442,0.010596153203687668,0.004659919280004191,0.010115572764317366,-0.004260230135209435,-0.015510936832972071,0.003530363254616204,0.00324667835251298,-0.006364392355860119,0.007642960484684,-0.009642054697551711,-0.004330349736144239,0.012251072553551278
destination_No Urgent Place,0.13559271172450482,0.02573297254953736,,0.03787500605140698,-0.3639780161596919,-0.5176081120771536,0.5176081120771537,0.1291037239339604,-0.5789662468946403,1.0,-0.5712796698577697,-0.740856860802601,0.6005721847507168,0.21679820964192292,0.15925348645417328,-0.03722333841104968,-0.09245937188590495,0.09871927059585489,0.4717869158578151,-0.04433844907255279,0.4392226082327334,-0.17794828292377596,-0.5712796698577697,0.01066162349327924,-0.08288836461501775,0.0594687629023994,-0.16021346425275387,0.1266961224779575,-0.05840734422172055,0.058407344221720454,-0.0045825029925841,0.004582502992584209,-0.01622110568047262,-0.004439706795353281,-0.0015490069070503163,0.009617349602522574,0.016134572441477795,0.015852645605631564,0.0037635171676141826,-0.017472993476463132,-0.02078539500513218,0.04201363020595198,-0.04216977873007687,0.009612900436227539,0.00461122650661598,0.0024129549729485582,0.0030345178945443054,-0.0002771648334719372,-0.028367516557916417,-0.010696754350746651,0.013120483266458267,0.013174458726842364,0.011180309742734339,0.011690195327517177,0.004887613991995981,-0.022636917749092534,0.015085692467465954,0.016067224113101755,0.010601357672091628,-0.0007022547124340522,-0.0015646915998017107,0.01883400250641937,0.0004637432558062022,0.013115289111377017,0.004666501136203091,0.009809267206589038,0.013838791820461204,-0.0029708006280252876,0.00944732253685385,-0.020432287052355443,0.0020882447510841965,0.008725760663454051,-0.007471695911372247,-0.030597472623894624,0.004047910185357925,-0.02714445975229264,0.006553225160668912,-0.0019188872226633938,-0.0015666063735782806,-0.008967566112079361,0.01652049433418619,0.0005423690781596793,0.005735614002243563,0.01759998084078605,-0.03413495101610326,0.0027671639579548374,-0.004069372255393541,0.007531351805310968,-0.00975211587326752,0.006531571452464961,0.018717593461184824,-0.012485726162795823,-0.0086562903171314,0.010026257477357838,-0.013876634029085325,0.009555795539973525,-0.00875385241841541,0.0071591228395010585,-0.007783606204264949,-0.0011930594108872086,-0.01131122001969427,0.009109725171253908,0.01336915585532038,-0.005769365953216165,-0.004128173059534906,0.007286942229360915,-0.0007625743621662918,0.007382796577906285,0.008021811568226483,-0.021570899609094828
